#STF 147      1822 2014  168  86 266   3.5   0.2  6.14  7.17 F5V+F7V   +043-417 +043-417 -12  315  O   014144.84-111928.9
       1926.69      89.8     .       2.97      .        6.0    .      7.5    .                0.3   3 Ber1927  Ma   3   
       1926.69      89.8     .       2.97      .         .     .      1.5    .                0.3   3 Ber1928b Ma   6   
       1926.83      87.8     .       2.50      .         .     .       .     .                0.3   2 Jan1929  Ma   0   
       1927.76      87.8     .        .        .         .     .       .     .                0.1   1 Baz1929b Ma   0   
       1927.84      88.9     .       2.58      .         .     .       .     .                0.2   1 Buc1929  Ma   0   
       1930.65      88.7     .       2.76      .        6.5    .       .     .                0.7   1 Ald1936a Po   0   
       1931.38      87.2     .       2.92      .         .     .       .     .                0.1   5 Baz1932a Ma   0   
       1932.67      88.4     .       2.89      .        6.0    .      7.3    .                0.4   4 Wal1934  Ma   0   
       1933.63      85.9     .       2.42      .         .     .       .     .                0.5   3 Brt1939a Ma   0   
       1934.04      87.5     .       2.79      .         .     .       .     .                0.1   2 All1936  Ma   0   
       1934.43      89.4     .       2.65      .        6.2    .      7.2    .                0.7   4 B__1935c Ma   0   
       1934.85      90.1     .       2.63      .         .     .       .     .                0.3   4 Ina1935  Ma   0   
       1936.90      89.2     .       2.83      .         .     .       .     .                0.4   1 Vat1939  Ma   0   
       1937.77      88.91    .       2.65      .         .     .       .     .                0.9   1 Hzg1940  Po   0   
       1940.          .      .        .        .         .     .      1.01   .     553         .    1 Frw1946  Po D 7   
       1940.          .      .        .        .         .     .      1.80   .                 .    1 Hop1948  Zp D 7   
       1942.23      88.8     .       2.43      .         .     .       .     .                0.3   4 Baz1945a Ma   0   
       1942.75      88.80    .       2.532     .         .     .       .     .                0.9   1 Jef1951  Po   0   
       1943.65      89.0     .       2.40      .         .     .       .     .                0.4   4 Vou1955  Ma   0   
       1948.71      92.2     .       2.42      .         .     .       .     .                2.1   2 VBs1954  Mb   0   
       1949.74      89.99    .       2.342     .         .     .       .     .                0.6   1 Lem1958  Po   0   
       1950.70      89.46    .       2.297     .         .     .       .     .                0.6   1 Lem1958  Po   0   
       1951.          .      .        .        .         .     .      1.03  0.06   550        0.6   4 Wie1957b Po D 7   
       1951.22      90.8     .       2.56      .        6.0    .      7.3    .                0.3   3 Wie1956c Ma   0   
       1951.85      89.27    .       2.315     .         .     .       .     .                0.6   1 Lem1958  Po   0   
       1953.76      89.81    .       2.206     .         .     .       .     .                0.6   1 Lem1958  Po   0   
       1954.87      89.4     .       2.23      .        6.5    .      7.4    .                0.7   3 Chu1956  Ma   0   
       1956.77      89.62    .       2.231     .         .     .       .     .                0.6   1 Lem1958  Po   0   
       1957.64      89.67    .       2.174     .         .     .       .     .                0.6   1 Lem1958  Po   0   
       1957.98      90.6     .       2.15      .         .     .       .     .                0.3   2 Wor1960  Ma   0   
