USNO Double Star data for WDS 18078+2606

Note: the data request software was rewritten in July 2017, following introduction of the WDS supplement. Please see the
new datarequest.key file for a description of file contents. This effort is still ongoing; your comments regarding
format, errors, or missing information are welcome.

------------------------------------------------------------------------------------------------------------------------

MEASURES:

       1877.10    q182.4     .      13.92      .         .     .       .     .                0.2   4 Sp_1888  Ma   3   
       1880.33    q182.7     .      13.85      .         .     .       .     .                0.2   4 Frz1884  D    4   
       1880.65     183.4     .      14.14      .         .     .       .     .                0.2   3 Je_1882  Ma   4   
       1883.71    q182.6     .      13.99      .         .     .       .     .                0.2   5 Sp_1888  Ma   3   
       1883.77    q183.2     .      14.04      .        6.0    .      6.0    .                0.2   6 Eng1885b Ma   4   
       1886.56     181.4     .      14.23      .         .     .       .     .                0.2   2 And1899  Ma   4   
       1887.61     182.8     .      14.00      .         .     .       .     .                0.2   2 Cos1899  Ma   4   
       1888.59     183.0     .      14.46      .         .     .       .     .                0.3   1 Kin1928  Po   3   
       1889.58    q182.3     .      14.10      .        5.8    .      5.7    .                0.2   2 Glp1895  Ma   4   
       1890.64    q182.8     .      14.05      .         .     .       .     .                0.1   4 Gia1891  Ma   3   
       1891.48    q182.9     .      14.07      .         .     .       .     .                0.5   5 Sp_1909  Ma   3   
       1892.40    q182.5     .      14.09      .         .     .       .     .                 .    9 Amb1919  D    3   
       1892.64    q182.9     .      14.20      .         .     .       .     .                 .    4 Coh1894  D    3   
       1893.64     181.9     .      14.592     .         .     .       .     .                0.3   1 WFC1998  Pa   7   
       1894.50     180.3     .      14.876     .         .     .       .     .                0.3   1 WFC1998  Pa   7   
       1894.55    q182.4     .      13.96      .        5.4    .      5.2    .                0.2   2 Glp1895  Ma   4   
       1895.24     181.4     .      14.6       .         .     .       .     .                0.3   3 Brt1926a Pa X 3   
       1897.59     182.8     .      13.75      .         .     .       .     .                0.2   3 Col1904  Ma   3   
       1897.59     182.3     .      14.296     .         .     .       .     .                0.3   1 WFC1998  Pa   7   
       1898.52     181.7     .      13.87      .         .     .       .     .                0.2   3 Col1904  Ma   3   
       1898.61     181.8     .      16.202     .         .     .       .     .                0.3   1 WFC1998  Pa   7   
