,HD,HIP,P (yr),P_err (yr),a (mas),a_err (mas),e,e_err,i (deg),i_err (deg),w (deg),w_err (deg),bigw (deg),bigw_err (deg),T (mjd),T_err (mjd),residual (micro-as),binary_separation (mas),HIP_distance (pc),HIP_distance_err (pc),Gaia_distance (pc),Gaia_distance_err (pc),a_HIP (au),a_HIP_err (au),a_Gaia (au),a_Gaia_err (au),Mdyn_HIP (Msun),Mdyn_HIP_err (Msun),Mdyn_Gaia (Msun),Mdyn_Gaia_err (Msun),Mdyn_over_d3 (x10e-6),Mdyn_over_d3_err (x10e-6),triple,SpType (primary?),dmag_speckle_v,dmag_speckle_v_err,dmag_speckle_i,dmag_speckle_i_err,dmag_wds_v,dmag_wds_v_err,dmag_h,dmag_h_err,dmag_k,dmag_k_err,M1_ph,M2_ph,Msum_ph,Diameters,complete vsini,vsini,Gaia vsini,Gaia Teff,Gaia e_plx,Gaia Fe/H,Gaia Dist,Complete[Fe/H],G-C [Fe/H],Av,kerv_dist,e_kerv,Teff_bibcode,Teff
40,128415,71577,55.98980418,1.974727115,106.7898434,3.106106428,0.233608898,0.020708801,108.1633146,0.487039001,27.66460997,2.737580313,234.6433467,0.376213984,56734.8964,123.9340971,44.8,43.89426032,236.4066183,24.03187875,,,,,,,,,,,0.389640324,0.01228785,,A0IV,,,,,0.88,0.17,,,0.99,0.03,,,,0.177743,282.0416,,282.0416,,0.194900006,,,,,0.11,69.84215673,0.05,2018A&A...616A...1G,9097
41,129246,71577,123.869402,0.176665409,924.3716462,18.33929826,0.985093629,0.000587978,120.7935531,0.686485098,66.78120512,0.581457158,178.5345732,0.259925725,15038.14904,63.99270976,118.58,94.52945873,53.8793119,2.206264963,,,,,,,,,,,51.65514875,3.155128747,,,,,,,0.22,0.18,1.04,0.18,,,,,,0.591,161,161,,,,,,,,0,53.87931034,0.76,2009A&A...501..297Z,8990
42,133484,73637,68.08277102,30.55568944,311.0861023,89.89128028,0.150776165,0.108318399,71.82001097,1.530182308,166.6265875,2.757044998,228.1841945,1.076948659,52000.7837,219.1568148,497.28,174.8682462,55.64830485,2.043844411,59.58800851,0.433544236,,,,,,,,,7.559604757,0.618946472,,F6IV,,,,,2.31,0.3,2.54,0.11,,,,,,0.332698,18,18,19.2803,6411.1,0.122100003,-0.4644,59.9832,-0.4644,0.14,0,59.58765344,0.122,2018A&A...614A..55A,6655
43,133955,74117,70.72662522,0.216584875,259.7533776,2.403910014,0.599687078,0.004596039,70.35685399,0.30619626,304.4971481,0.6556218,24.26556802,0.165989635,50899.8688,47.027803,109.77,168.0571576,238.0952489,37.41497087,,,,,,,,,,,3.499984478,0.100949243,,B3V,,,,,0.83,0.04,,,0.87,0.11,,,,0.269,135,135,,,,,,,,0.11,238.0952381,0.66,2018A&A...616A...1G,9319
44,137798,75790,188.2454601,9.454530382,680.1961806,47.37627564,0.606015734,0.077613898,90.61464963,0.078895743,6.41375687,4.849945644,138.3899542,0.076966594,66790.57787,1627.126884,48.61,101.0253236,58.61664896,3.813861854,,,,,,,,,,,7.948654025,0.480198002,,F6IV,,,,,0.64,0.26,,,1.24,0.22,,,,,4,4,,,,,,0.03,0.03,0,60.48509043,0.018,2011A&A...530A.138C,6312
45,137909,75695,10.52614337,0.002411289,205.2323979,0.046721344,0.538927487,8.54E-05,111.4476644,0.005920952,179.8188067,0.025815382,147.9276451,0.014640106,44422.52676,3.510511582,12.3,,,,,,,,,,,,,,78.01874243,0.049691676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,140159,76852,21.95239667,0.020189602,212.2570626,0.464040281,0.1042989,0.003440056,83.64422345,0.029563829,78.82764609,2.118905841,69.73862844,0.029925782,54132.34614,57.54072934,17.97,185.8665091,58.27505879,2.275308317,,,,,,,,,,,19.83083298,0.145407331,,A1V,,,,,0.05,0.08,0.49,0.19,,,,,,0.437,95,95,120.5492,,,,,-0.8,,0,58.27505828,0.67,2016A&A...589A..83G,8100
47,140436,76952,136.5766124,10.9024787,1004.974353,69.33333957,0.513905242,0.01225225,93.51318438,0.246479692,74.84748623,7.925160643,112.0051968,0.203722156,9165.808385,4248.96464,70.11,75.70064558,44.78280356,1.002749747,,,,,,,,,,,49.66617941,2.42021089,,A0V,,,,,1.4,0.29,1.12,0.08,,,,,,0.599,100,100,,,,,,,,0,44.7828034,0.5,2012A&A...537A.120Z,9120
48,144892,79071,56.94569587,0.149212976,296.7492423,1.018302029,0.734844679,0.001482272,82.28053631,0.042678953,157.9935281,0.371015403,197.8997814,0.010717681,58349.52853,1.173354188,29.5,35.34299909,64.68305288,4.853320763,,,,,,,,,,,8.002681007,0.082139135,,F6V,,,,,0.58,0.12,0.92,0.19,0.51,0.04,,,,0.342,7,7,11.3005,,,,,-0.01,-0.01,0,64.68305304,1.16,2011A&A...530A.138C,6314
49,145589,79337,25.24969925,1.501312084,94.42461436,3.864385119,0.875552868,0.002619315,89.02151613,0.044271973,309.9239326,2.05904022,264.9677674,0.008422582,60248.79487,2.0296371,17.24,41.69974636,162.3376664,15.02150503,211.2780207,29.32743038,,,,,,,,,1.321120573,0.006024616,,A7V,,,,,0.25,0.28,,,0.71,0.03,,,,0.267,110,110,120.3881,7416.9,0.657000005,-0.755,88.5729,-0.755,,0.068,162.3376623,0.57,2012A&A...537A.120Z,7499
50,148283,80460,93.16645275,5.719698911,406.5382608,18.26732188,0.733189066,0.010894954,96.60762412,0.183662082,295.6607931,1.782482864,177.6089227,0.544298964,47908.58275,46.08128316,111.97,168.6763556,74.46016212,2.273169435,75.81328704,0.710410087,,,,,,,,,7.706548039,0.092393137,,A5V,,,,,2.7,,2.34,0.11,,,,,,0.374742,260,260,,,0.123599999,,,,,0,75.81501137,0.124,2012A&A...537A.120Z,8279
51,153370,83321,196.5146786,19.13528277,310.4889373,21.72068413,0.185652308,0.054201622,85.13596186,0.252531852,165.953303,16.06863476,13.48128648,0.479221342,51172.16001,2946.495248,140.2,187.2108352,104.4932113,9.39019499,,,,,,,,,,,0.786517065,0.033429138,,A9III,,,,,0.28,0.08,,,0.21,0.16,,,,0.274,,,,,,,,,,0.035,104.4932079,0.86,2003AJ....125..359W,7450
52,154569,83845,252.7057412,27.42320864,502.6748917,26.84537706,0.876405392,0.024894613,107.2815245,2.116433756,129.6271539,3.832220391,168.0929713,3.083589588,50316.7366,1401.09645,71.66,164.0163837,137.174212,16.74692007,120.4833793,5.825369184,,,,,,,,,2.106191308,0.575100145,,A5IV,0.81,0.15,0.73,0.15,0.63,0.16,,,0.65,0.09,,,,0.189,164.5484,,164.5484,7648.5,0.401300013,-0.6658,91.1829,-0.6658,,0.035,137.1742112,0.89,2020AJ....160...83S,7475
53,156190,84979,1019.117327,130.8386688,714.0489653,27.73894422,0.84927456,0.009954337,96.47207391,0.65931406,17.52736766,7.639592296,293.2597064,0.459072054,5647791.786,716703.4988,30.67,91.08982281,404.8582949,81.95511948,313.008639,18.15465709,,,,,,,,,0.338790845,0.080529364,,B8/9V,,,,,0.4,0.5,,,0.16,0.04,,,,0.251,65.3513,,65.3513,,0.185299993,,,0.14,,0.165,404.8582996,0.5,2012A&A...537A.120Z,10423
54,158140,85521,332.9869669,7.396903896,662.5550795,9.912855525,0.856455432,0.002545427,52.16734209,0.400104971,128.8321646,0.508071578,131.1454092,0.726896225,56555.16659,27.63414844,164.1,186.8762224,103.6269471,14.92657624,,,,,,,,,,,2.620869065,0.058754784,,F3IV/V,,,,,0.34,0.16,,,0.3,0.09,,,,0.241,13.7,13.7,,,,,,-0.16,-0.16,0.036,93.21401939,1.071,2011A&A...530A.138C,6745
55,160935,86596,90.34779671,4.618158034,324.3897508,12.20977382,0.92051503,0.017984632,74.06726754,1.793064382,65.47625843,3.681855749,179.1943154,0.543570414,61799.99748,75.51697726,26.98,67.47916676,89.84725873,5.247144244,120.8108826,5.554959599,,,,,,,,,85.03079889,9.607691357,,F8IV,,,,,0.92,0.37,1.58,0.15,,,,,,0.347,14,14,11.6814,,0.380600005,,,0.06,0.06,0,89.84725966,0.65,2020AJ....159...90S,6199
56,163346,87761,29280.48378,2513.513742,5099.049782,275.4636515,0.980787122,0.001146807,127.9523478,1.640541879,182.3297244,2.377873452,122.5306719,4.211698541,58420.01748,515.188611,45.3,95.57842108,226.7573775,39.07836977,235.0783986,16.50671591,,,,,,,,,84.48486303,12.62008991,,A2IV+G/K,,,,,0.3,0.16,2.17,0.12,2.34,0.08,,,,0.414,5.8695,,5.8695,,0.125499994,,,0.23,,0.11,226.7573696,0.76,2019A&A...627A.138A,7049
57,166045,88818,16.57429616,0.018709743,147.5088591,0.232728804,0.911284693,0.000353098,16.20443921,0.657731242,2.59E-09,1.35007688,144.8853265,1.31581916,70853.0238,13.65799021,51.42,209.2506954,49.60317498,8.045753098,63.88674158,0.5122302,,,,,,,,,11.65680683,0.051696435,,A3V,3.57,0.15,2.58,0.15,2.5,0.3,2.12,0.13,,,,,,0.272544,170,170,,,,,,,,0,63.88551715,0.125,2012A&A...537A.120Z,8204
58,173093,91880,7.186364348,0.102482767,75.14797932,2.568624546,0.562800147,0.019963917,106.3564454,0.878411003,249.2340014,2.853318676,288.2079884,0.332451423,55393.32761,54.72590902,275.32,33.28996486,73.80073697,2.342016013,,,,,,,,,,,8.292386384,0.85011991,y,F7V,,,,,0.58,0.16,0.78,0.24,,,,,,0.385101,22,22,,6265.7,0.071800001,-0.298,70.3498,-0.298,0.02,0,72.56367462,0.072,2013MNRAS.435..952S,6268
59,178475,93903,48.59873839,0.565034338,76.64113864,0.978546177,0.217612295,0.018121056,127.0930413,0.908924827,86.96702569,4.407130717,203.6348928,1.081397043,61525.03769,143.4408658,70.91,57.82576812,274.7252668,15.09479467,294.7070612,19.64597933,,,,,,,,,0.337851244,0.040039908,,B6IV,1.94,0.15,1.78,0.15,1.53,0.07,1.81,0.09,,,,,,0.219491,195,195,,,0.2262,,,,,0.143,274.7252747,0.2,2012A&A...537A.120Z,13428
60,179950,94643,19.91959824,0.052979559,134.3224011,1.25148265,0.497,0.014,80.61809894,0.842534197,8.862213373,4.425201114,287.5819311,0.58320421,57041.72314,87.71706698,300.9,194.1837902,91.49130577,2.59490432,93.75498073,3.146818806,,,,,,,,,6.122306681,0.1683023,,K0/1III,,,,,0.39,0.33,2.19,0.15,,,,,,1.238,7,7,10.4084,,0.35800001,,,,,0,93.75585974,0.358,2018A&A...616A...1G,6028
61,185404,96729,47.8925807,0.449850267,198.3919666,1.724731518,0.0594,0.0201,93.3841697,0.15924429,48.92292351,16.71937216,328.5463865,0.089979991,44989.68647,828.7184515,660.88,189.322384,98.716682,7.6010867,,,,,,,,,,,3.36293555,0.14034004,,A0V,,,,,0.7,0.09,,,0.85,0.13,,,,0.182,150,150,140.6742,,,,,,,0,98.71668312,0.78,2012A&A...537A.120Z,9795
62,185762,96807,10.20442554,0.022797697,68.48498769,0.233477882,0.472324564,0.003766748,153.1858508,0.604075577,80.29145473,0.330624103,264,0.531,56383.03625,7.913602139,26.91,38.9714669,107.991358,8.163493246,103.3805438,1.714280942,,,,,,,,,3.083381089,0.036928908,*,A2V,,,,,1.65,0.23,1.53,0.15,,,,,,0.294333,65,65,88.0774,9373.8,0.160400003,0.7187,118.2622,0.7187,,0.034,107.9913607,0.7,2012A&A...537A.120Z,9016
63,189037,98055,28.35008116,0.081751293,176.2751211,8.115905,0.902714318,0.009082643,104.940954,0.748149996,277.1605436,0.30923774,197.4493151,0.340855074,67392.4409,42.78295647,30.45,76.79448981,86.28127583,2.828894217,,,,,,,,,,,6.811040849,0.941206176,,A4Vn,0.6,0.15,0.45,0.15,0.5,0.08,0.65,0.16,,,,,,0.448,190,190,,8358,0.316799998,0.0535,109.9929,0.0535,-0.01,0,87.05493166,0.035,2012A&A...537A.120Z,8128
64,189340,98416,4.872796857,0.001503335,154.2322726,0.072434605,0.606026278,0.001184948,22.41109793,0.271979516,134.3391641,0.490799547,151.2672866,0.513193078,45250.34559,4.222965129,34.91,189.0049338,22.20248623,0.488020895,,,,,,,,,,,154.5132575,0.193782058,,F9V,1.48,0.15,1.25,0.15,1.51,0.14,1.19,0.16,,,,,,0.54,1,1,,,,,,-0.29,,0,22.20248668,0.99,2017AJ....153...21L,5947
65,195206,101211,97.48795089,19.4315552,168.7042186,16.53549691,0.811064446,0.01678779,109.5146416,1.290500797,334.5766057,11.60038694,291.2794799,2.147723272,60130.12476,39.90798524,45.01,21.54657756,209.2050117,25.82237364,,,,,,,,,,,0.507525152,0.065594058,,A5V,,,,,2.47,0.28,,,2.53,0.06,,,,0.266,85,85,98.0102,,0.149100006,,,,,0.075,209.2050209,0.59,2012A&A...537A.120Z,7727
66,196089,101398,119.148189,11.45232694,103.9439019,7.40652615,0.495137802,0.015766452,51.99203462,1.648509199,238.6462075,7.022671891,231.5071947,1.654229849,45771.80779,232.9938606,55.23,127.9735787,458.7155823,63.12599814,,,,,,,,,,,0.082586513,0.002370809,y,A0,0.59,0.15,1.47,0.15,,,2.91,0.09,,,,,,0.462866,50,50,12.5101,6230.2,0.501299977,-2.1078,189.0006,-2.1078,,0.283,458.7155963,0.3,2014ApJ...791...58A,4841
67,196867,101958,16.84753356,0.01898681,167.5965957,0.434045359,0.471696411,0.003117666,150.815977,0.420721912,106.2083035,0.840936921,129.5936552,1.059648103,45747.41595,14.74915229,920,193.4224054,77.82100936,2.664688165,72.8342729,1.85775191,,,,,,,,,16.58654179,0.123007202,y,B9IV,2.41,0.15,2.09,0.15,2.26,0.14,2.42,0.3,,,,,,0.514,140,140,,,0.350199997,,,,,0,72.83321194,0.35,2009A&A...501..297Z,11220
68,198183,102589,11.79776135,0.020219413,43.41343853,0.303863187,0.476940377,0.009907536,153.2384957,0.77872561,258.0122825,3.342274796,127.9147297,3.26193016,45172.13759,18.29641896,21.34,57.4287359,235.8490693,23.91865731,,,,,,,,,,,0.58703598,0.01112698,,B5V,2.09,0.15,2.12,0.15,,,2.11,0.21,,,,,,0.287,100,100,,14511.9,0.215200007,0.7368,238.5469,0.7368,,0.102,252.3340903,0.068,2001A&A...378..861C,15241
69,199766,103569,102.1328859,2.321490351,595.2500099,4.419021239,0.709392034,0.002528095,92.31937497,0.020102457,347.566235,1.649673563,106.0046607,0.029897187,23288.36044,856.3878581,286.81,100.9927879,54.08328893,3.948752961,,,,,,,,,,,20.15758519,0.48364489,y,F5V+F6V,0.25,0.15,0.34,0.15,0.52,0.13,0.59,0.14,0.52,0.05,,,,0.654,52,52,,,,,,0.01,0.01,0,55.04183179,0.022,2011A&A...530A.138C,6432
70,201038,104272,342.885794,13.02081757,572.5663475,10.22318719,0.660271734,0.007859538,87.20894572,0.088186469,303.5571704,2.1483139,269.1576912,0.140929713,34415.90782,399.2161436,19.5,42.6471258,117.6470588,11.2110727,140.2721279,3.413832851,,,,,,,,,1.583961383,0.114607266,,A1V,0.73,0.15,0.58,0.15,0.76,0.11,,,0.46,0.04,,,,0.169,15.1298,,15.1298,7665.7,0.173500001,-1.1888,120.3214,-1.1888,,0.031,117.6470588,0.81,2018A&A...616A...1G,7691
71,206901,107354,11.68664071,0.072834932,220.9651652,4.208509816,0.163060014,0.033945238,110.1448772,0.717459609,314.5391411,6.440077405,294.10876,1.073250019,52321.71245,89.02530355,526.72,176.9905349,34.22313564,0.866705041,,,,,,,,,,,80.18713019,5.716823229,y,F5V,,,,,,,0.7,0.3,,,,,,1.019,20,20,,,,,,0.06,0.06,0,117.6470588,0.81,2011A&A...530A.138C,6636
72,217676,113726,104.2357173,1.858587347,288.4846679,2.520791942,0.282807453,0.00864252,108.0694996,0.147035027,146.3405016,1.155124076,4.367096027,0.270750796,55534.45015,113.6263149,751.72,200.4027856,210.5263158,23.49030344,107.4679477,6.677839624,,,,,,,,,2.209355689,0.028638188,,B6IV/V,2.27,0.15,2.3,0.15,2.21,0.11,3.27,0.25,,,,,,0.455,200,200,,,0.578199983,,,,,0.09,117.6470588,0.81,NA,0
73,217782,113788,73.60453989,0.425552843,248.1258904,0.98980862,0.828294688,0.000664774,37.45224595,0.045143234,228.3313263,0.065235556,297.6788988,0.072432194,59708.6027,0.280691212,32.23,41.51150818,129.1989702,8.513110534,,,,,,,,,,,2.8196834,0.002499437,,A1V,2.17,0.15,2.12,0.15,2.9,0.7,2.06,0.08,,,,,,0.378,195,195,207.753,9439.9,0.405499995,-0.0409,112.9289,-0.0409,,0.033,129.1989664,0.51,2012A&A...537A.120Z,8954
74,220278,115404,67.20325245,0.309708237,437.9346889,2.038946203,0.192777282,0.002587905,79.4020804,0.075784031,327,1.24,275.1759509,0.062080812,51675.02808,82.51549049,2622.91,153.3273946,65.35947631,3.374770395,,,,,,,,,,,18.60044525,0.203643265,y,A3V,1.09,0.15,1.47,0.15,1.1,0.11,1.36,0.09,1.2,0.1,,,,0.418,160,160,,,,,,,,0,65.35947712,0.79,2012A&A...537A.120Z,7586
75,224512,118205,62.71698989,0.845288733,195.7868432,1.479457326,0.147352543,0.019131303,105.6550339,0.193794947,257.1577421,4.72526761,16.96595483,0.467916511,51877.7697,261.657101,94.15,177.5673524,117.7856333,12.06990628,,,,,,,,,,,1.911247362,0.02563909,,F2V,0.71,0.15,0.71,0.15,0.8,0.11,,,1.27,0.19,,,,0.355,32.6,32.6,,,,,,-0.26,-0.26,0.026,117.7856302,0.87,2018A&A...616A...1G,6892
