,HD,HIP,P (yr),P_err (yr),a (mas),a_err (mas),e,e_err,i (deg),i_err (deg),w (deg),w_err (deg),bigw (deg),bigw_err (deg),T (mjd),T_err (mjd),residual (micro-as),binary_separation (mas),HIP_distance (pc),HIP_distance_err (pc),Gaia_distance (pc),Gaia_distance_err (pc),a_HIP (au),a_HIP_err (au),a_Gaia (au),a_Gaia_err (au),Mdyn_HIP (Msun),Mdyn_HIP_err (Msun),Mdyn_Gaia (Msun),Mdyn_Gaia_err (Msun),Mdyn_over_d3 (x10e-6),Mdyn_over_d3_err (x10e-6),triple,SpType (primary?),dmag_speckle_v,dmag_speckle_v_err,dmag_speckle_i,dmag_speckle_i_err,dmag_wds_v,dmag_wds_v_err,dmag_h,dmag_h_err,dmag_k,dmag_k_err,M1_ph,M2_ph,Msum_ph,Diameters,complete vsini,vsini,Gaia vsini,Gaia Teff,Gaia e_plx,Gaia Fe/H,Gaia Dist,Complete[Fe/H],G-C [Fe/H],Av,kerv_dist,e_kerv,Teff_bibcode,Teff
10,29573,21644,47.34698406,1.276329718,264.8881993,18.60792601,0.765849465,0.019596943,73.33990198,1.211118512,283.6866489,1.275876846,154.9508107,0.977087627,53427.53118,182.8308687,1006.86,132.3883641,71.32667385,2.747247086,70.25037233,1.804277925,,,,,,,,,10.76685524,1.988001869,y,A0V,2.44,0.15,1.63,0.15,1.84,0.16,1.52,0.08,1.51,0.1,,,,0.324,31,31,,9353.1,0.36559999,0.3776,74.7299,0.3776,,0,70.24938532,0.366,2012A&A...537A.120Z,8892
11,31093,22573,42.58136013,0.201135766,227.0359711,6.628435273,0.821553909,0.010496158,111.0752996,0.692371467,292.6070965,0.831242181,199.495864,0.691140498,53871.06309,44.38644296,105.89,175.7623494,82.16926818,2.768233315,,,,,,,,,,,6.448063931,0.534620297,,A2/3V,0.67,0.15,,,0.77,0.14,,,0.51,0.11,,,,0.269,196.8,196.8,226.1787,,,,,,,0,82.16926869,0.41,2006A&A...458..293P,9205
12,31297,22812,85.41963993,0.929729639,242.9569941,3.089703099,0.525523363,0.005091689,120.0288961,0.520274117,308.8492065,0.503708014,218.2357345,0.720975006,53092.55896,103.2091043,610.08,142.9520969,124.5330054,11.32118298,,,,,,,,,,,1.967071578,0.049259692,y,F2IV/V,0.81,0.15,0.71,0.15,0.27,0.17,0.65,,0.32,0.16,,,,0.334,22,22,,,,,,0.2,0.2,0.031,124.5330012,0.73,2011A&A...530A.138C,6625
13,34319,24560,11.12178448,0.083534803,34.68169458,0.29772284,0.90156579,0.002521224,70.34485016,0.167074969,208.5353792,1.207491265,43.39634926,0.428555125,46167.28569,88.54316288,18.5,59.14171129,228.3104963,23.45655661,259.2621399,2.487023749,,,,,,,,,23.62704543,18.88828749,,A2/3V,1.16,0.15,2.06,0.15,0.73,0.19,2.88,0.03,,,,,,0.447,100,100,9.7163,,0.037,,,,,0.078,256.0819462,0.038,2018A&A...616A...1G,5489
14,36058,25667,2125.622649,140.0864183,1215.881338,59.7638745,0.875923554,0.008350387,48.6391475,0.633300646,344.7393087,0.808232102,250.2120366,1.172902796,49727.28597,122.1456156,128.21,197.0429652,244.4987684,37.06338188,,,,,,,,,,,0.388361675,0.007966426,,B9V,0.39,0.15,0.4,0.15,0.48,0.13,,,0.62,0.12,,,,0.171,190,190,,,,,,,,0.084,253.35698,0.137,2006A&A...458..293P,10385
15,37269,26536,52.49546547,0.106000494,149.6066176,0.250230826,0.649346824,0.003465073,125.5089284,0.170821511,309.2396994,0.418435382,127.203426,0.337931111,42380.97683,30.5219432,73.37,100.9812609,173.6111042,193.5040378,,,,,,,,,,,1.215114973,0.005633997,,A2.5V+F6III,0.4,0.15,1.35,0.15,0.34,0.19,2.38,0.17,,,,,,0.61,5.1,5.1,6.8459,,,,,,,0.134,167.3920321,0.072,2018A&A...616A...1G,6218
16,37711,26777,123.240251,7.499724053,210.0305434,7.46926527,0.778063818,0.011298763,69.3616146,0.759125876,334.3136964,4.515792722,64.1503753,0.787877635,61136.67398,40.74144303,73.53,36.2098418,194.9317695,30.77869986,723.0135204,306.7488386,,,,,,,,,0.609748414,0.011485153,y,B3IV,1.49,0.15,1.48,0.15,1.64,0.15,1.78,0.21,,,,,,0.212,105,105,,,0.586799979,,,,,0.13,194.9317739,0.81,1995A&AS..110..553S,19470
17,38545,27316,20.94936492,0.079809837,100.5167496,0.909611044,0.742181426,0.011183512,93.92271838,0.150126555,191.753176,1.783089117,193.6045318,0.106386124,69353.72752,73.21116568,123.12,109.9030552,104.1666625,9.223089803,,,,,,,,,,,2.313587879,0.052958645,,A3Vn,0.66,0.15,0.73,0.15,0.65,0.05,,,0.96,0.04,,,,0.284,175,175,,,,,,-0.3,,0.066,123.5483074,0.031,1993A&A...277..139S,8970
18,38769,27410,60.03456668,0.326383447,139.3055399,0.315902437,0.470791626,0.002639811,23.13712137,0.506209161,339.2161039,2.884996071,28.82115106,2.38470831,38575.73481,127.1195791,27.35,73.18191396,176.3668407,32.03841947,,,,,,,,,,,0.75010355,0.005433847,,F2V,0.07,0.15,0.13,0.15,0.28,0.04,,,0.09,0.06,,,,0.242,190,190,,,0.232099995,,,-0.05,-0.05,0.063,104.1666667,0.85,2019A&A...627A.138A,6819
19,40932,28614,18.55611224,0.028246617,239.4649769,1.997477628,0.774687143,0.006437008,98.76780549,0.175273003,209.1289259,0.705077229,26.14470995,0.159674175,52721.19746,13.02335191,497.15,134.776984,47.50593996,1.534633762,,,,,,,,,,,39.88487677,1.022373089,,A1Vm+F2V,1.95,0.15,1.25,0.15,1.5,0.4,1.69,0.31,,,,,,0.639,18,18,,,,,,-0.1,,0,47.50593824,0.68,2016A&A...589A..83G,7600
