HD,B_ I/259/tyc2,B_error_I/259/tyc2,V_ I/259/tyc2,V_error_I/259/tyc2,B_TycoDouble,B_error_TycoDouble,V_TychoDouble,V_error_TycoDouble,B_B_TycoDouble,B_B_error_TycoDouble,V_B_TychoDouble,V_B_error_TycoDouble,PA(deg)_tycoDouble,Sep(arcsec),notes,B_ /276/catalog,B_error_/276/catalog,V_ /276/catalog,V_error_/276/catalog,B_ J/A+A/531/A92,B_err_J/A+A/531/A92,V_ J/A+A/531/A92,V_err_J/A+A/531/A92,V_Mag  II/237,G _I/350/gaiaedr3,G_err,J_ II/246/out,J_err,H_ II/246/out,H_err,K_ II/246/out,K_err,HD,B_I/297,V_I/297,R_I/297,B1_I/284,R1_I/284,R1_err,B2_I/284,R2_I/284,R2_err,B_complete,B_err_complete,V_complete,V_err_complete
43525,5.514,0.014,5.4,0.009,,,,,,,,,,,,,,,,,,,,,5.328156,0.003945,5.341,0.246,5.177,0.021,5.109,0.026,43525,,,,5.5,5.34,0.15,5.44,5.33,0.15,5.514,0.014,5.4,0.009
45542,3.975,0.014,4.102,0.009,,,,,,,,,,,,,,,,,,,,,4.058969,0.004268,4.585,0.378,4.523,0.25,4.346,0.017,45542,,,,3.9,4.15,0.15,4.04,4.17,0.15,3.975,0.014,4.102,0.009
46273,5.819,0.014,5.424,0.009,6.36,0.01,5.97,0.01,6.57,0.01,6.15,0.01,270.3,0.74,split,,,,,,,,,,0.864168,0.006299,4.774,0.234,4.477,0.24,4.334,0.016,46273,,,,5.75,5.2,0.15,5.57,5.17,0.15,5.819,0.014,5.424,0.009
47105,0.485,0.014,2.024,0.009,,,,,,,,,,,,,,,,,,,,1.92,,,1.729,0.244,1.836,0.202,1.917,0.22,47105,0.485,2.206,2.38,1.41,2.36,0.15,2,2.38,0.15,2,0.014,2.206,0.009
48581,7.097,0.015,6.798,0.01,,,,,,,,,,,,,,,,,,,,,6.732315,0.003356,6.164,0.021,6.064,0.042,6.004,0.021,48581,,,,7.06,6.63,0.15,6.91,6.61,0.15,7.097,0.015,6.798,0.01
49643,5.621,0.014,5.733,0.009,,,,,,,,,,,,,,,,,,,,,5.739992,0.005213,5.924,0.017,5.959,0.024,5.996,0.027,49643,,,,5.55,5.78,0.15,5.67,5.79,0.15,5.621,0.014,5.733,0.009
60107,5.328,0.014,5.269,0.009,,,,,,,,,,,,,,,,,,,,,5.201296,0.004409,5.033,0.018,5.026,0.017,4.995,0.017,60107,,,,5.3,5.23,0.15,5.28,5.23,0.15,5.328,0.014,5.269,0.009
64235,6.236,0.015,5.812,0.01,,,,,,,,,,,,,,,,,,,,,5.93853,0.003916,5.031,0.037,4.896,0.049,4.758,0.029,64235,,,,6.15,5.56,0.15,5.97,5.53,0.15,6.236,0.015,5.812,0.01
75974,7.55,0.016,6.749,0.01,,,,,,,,,,,,,,,,,,,,,6.487834,0.002761,5.261,0.037,4.889,0.036,4.786,0.017,75974,,,,7.43,6.27,0.15,7.05,6.23,0.15,7.55,0.016,6.749,0.01
78316,5.096,0.014,5.202,0.009,,,5.66,,,,,,,,,,,,,,,,,,5.189373,0.002928,5.418,0.029,5.444,0.038,5.463,0.023,78316,,,,5.02,5.25,0.15,5.14,5.26,0.15,5.096,0.014,5.202,0.009
