# date mjd sep pa err_maj err_min err_pa
2018Oct22 58413.3346 113.4638 63.9375 0.0576 0.0424 -15.7843
2018Nov21 58443.2438 107.8707 63.1225 0.1808 0.13 -25.5119
2018Sep19 58380.3808 118.5237 64.7078 0.0929 0.0563 -27.5386
2017Sep29 58025.3749 134.5723 71.4905 0.1698 0.0867 2.0104
2019Aug08 58703.5137 90.1496 239.309 0.05 0.0326 -15.8394
2019Aug06 58701.4658 88.6949 239.4204 0.0643 0.0436 -23.8035
2019Jul31 58695.5101 84.3226 239.6596 0.0357 0.0213 -22.9183
2019Oct14 58770.3425 128.8922 237.4772 0.0483 0.0527 45.0
2019Nov13 58800.2665 142.3838 236.986 0.0305 0.0339 45.0
2019Dec19 58836.181 156.4935 236.4299 0.2911 0.2461 358.5417
