# date mjd sep pa err_maj err_min err_pa
2018May28 58266.4602 126.6581 247.9722 0.4477 0.2478 76.2746
2019Jun02 58636.414 126.8965 249.0622 0.1431 0.0953 343.1551
2019Aug07 58702.2982 126.9601 249.2931 0.0881 0.0973 239.5994
2019Sep10 58736.2487 127.0602 249.4168 0.1513 0.1075 144.3616
2018Jul20 58319.333 126.9768 248.0735 0.5065 0.4018 50.4998
2019Jul30 58694.3196 127.0327 249.2561 0.1084 0.0803 339.5617
2019Nov11 58798.1615 127.0968 249.5754 0.1111 0.0802 289.7206
2019Nov13 58800.1027 127.0952 249.5598 0.0849 0.0772 342.4408
2019Oct13 58769.1458 127.0562 249.4463 0.0731 0.0603 50.3546
2019Dec19 58836.1033 127.2494 249.7043 0.4476 0.4954 45.0715
