# date mjd sep pa err_maj err_min err_pa
2018Aug20 58350.2773 71.5716 154.3466 0.1142 0.0282 332.1528
2018Sep18 58379.2 71.4878 153.6706 0.0586 0.0459 61.1176
2019Jun02 58636.3955 71.1643 147.0409 0.0392 0.0272 64.4973
2019Sep14 58740.1572 72.616 145.343 0.042 0.0219 45.0
2019Jul30 58694.3005 72.5185 146.3657 0.0192 0.0142 45.0
2018Jul20 58319.3127 71.4017 155.0367 0.2099 0.1489 338.9484
2017Sep30 58026.1856 69.5305 162.1646 0.0972 0.0875 67.899
2019Aug07 58702.2647 72.5019 146.1987 0.0192 0.0142 45.0
2019Dec19 58836.0851 72.893 143.1003 0.4963 0.2639 108.7067
2019Oct13 58769.1104 72.7549 144.6637 0.0304 0.0206 225.041
2019Nov13 58800.0825 72.8198 143.9649 0.0445 0.0351 325.0638
2019Nov11 58798.1226 72.8564 143.9702 0.03 0.0232 285.0011
