# date mjd sep pa err_maj err_min err_pa
2018Aug20 58350.5233 184.4758 183.1508 0.3148 0.0985 1.3052
2018Sep20 58381.4043 186.9405 182.7451 0.3709 0.0883 90.0
2018Oct23 58414.4465 189.3884 182.3273 0.0494 0.0385 51.3264
2019Dec18 58835.2971 219.8577 177.1192 0.4879 0.4879 30.4033
2019Oct13 58769.3843 214.6792 178.4841 0.1276 0.0901 103.9158
2019Nov11 58798.3411 216.5834 178.2273 0.1416 0.1343 61.2928
2019Jul30 58694.5091 209.748 179.1727 0.1499 0.0623 38.3336
2017Sep30 58026.4727 154.5626 188.1647 0.2164 0.1798 17.4354
2019Aug07 58702.4986 208.9439 178.9225 0.0498 0.047 62.8699
