# date mjd sep pa err_maj err_min err_pa
2018Oct23 58414.263 111.2789 48.6734 0.0589 0.0474 90.0
2018Sep18 58379.3334 113.2217 47.6563 0.0775 0.1148 209.9059
2019Jun02 58636.4959 99.717 55.9981 0.0915 0.1047 47.4283
2018Aug20 58350.391 115.3961 46.7624 0.2011 0.1353 38.1762
2019Aug07 58702.3481 96.1448 58.5195 0.0645 0.0532 337.5582
2019Jul30 58694.4003 96.6108 58.1871 0.0598 0.0389 344.1382
2019Nov13 58800.2127 90.8688 62.6746 0.0429 0.0258 82.3077
2019Oct13 58769.2079 92.558 61.2668 0.049 0.0653 221.5189
