# date mjd sep pa err_maj err_min err_pa
2019Nov11 58798.3984 147.875 307.6085 0.0627 0.0797 23.6787
2019Oct13 58769.4589 148.7695 307.8155 0.0765 0.0579 289.2223
2019Dec18 58835.3424 146.7761 307.2974 0.2914 0.2006 67.8091
2019Aug07 58702.5166 150.9291 308.3685 0.0596 0.037 311.1889
2018Sep20 58381.4865 160.0726 310.8501 0.1823 0.0989 276.9309
2017Sep28 58024.4319 169.355 313.2354 0.3064 0.2463 135.0
2018Aug21 58351.5011 161.7317 311.0366 0.1821 0.0534 128.9959
2018Oct22 58413.4478 158.9753 310.6336 0.0325 0.053 53.5344
2018Dec04 58456.3202 157.7913 310.3011 0.0791 0.1121 231.2617
2018Nov21 58443.3875 158.2022 310.3919 0.0733 0.0649 353.9767
