# date mjd sep pa err_maj err_min err_pa
2019Oct14 58770.4523 92.5079 261.7641 0.0834 0.0636 335.4517
2019Nov11 58798.4282 91.2303 262.004 0.1455 0.1401 0.5895
2019Oct13 58769.4368 92.5295 261.6707 0.0511 0.0587 35.3022
2018Oct22 58413.4766 107.6221 258.9179 0.0417 0.0618 33.1374
2018Nov21 58443.4093 106.4266 259.0611 0.1709 0.1088 331.6575
2018Sep19 58380.5058 109.0804 258.6804 0.4018 0.172 341.7179
2019Sep08 58734.4858 94.0301 261.3724 0.3725 0.1311 345.1845
2017Sep28 58024.4641 123.5014 256.5093 0.4879 0.4879 38.4672
2018Aug21 58351.5242 110.8494 258.523 0.2777 0.1603 293.8317
