# date(mjd) etalon_factor
58024.2643 1.0009147628336739
58025.3156 1.000875402653206
58026.3129 1.000375882850921
58027.3159 1.0005202274707172
58158.3832 1.002830023459671
58266.1966 1.0035751551205252
58317.2192 1.0033727052606258
58318.4987 1.0035687351310203
58350.2373 1.003704603671422
58351.1661 1.0030746436511166
58379.5381 0.9995736320512664
58380.2951 0.9997931423956276
58381.3058 0.9996143351010733
58413.2338 0.9986398379023541
58414.3904 0.9985768741078209
58443.1557 0.9986827255038921
58456.3642 0.9981681851388633
58569.2301 0.9994116209119596
58635.4484 0.9998306872375999
58636.373 0.9999389908051984
58637.3311 0.9995811893067449
58693.2516 0.9998030921695354
58694.4366 0.999975600047354
58695.4087 0.9998347511766099
58696.2552 0.9998883041615344
58701.3627 0.9997627116519587
58702.3857 0.9998651669612845
58703.4099 0.9998711190656141
58734.3122 0.9999471730637783
58769.0236 0.9998462880171332
58770.0175 0.9999323961347605
58798.0557 0.9999400104643138
58800.0261 0.9997889133287312
58835.0534 0.999986762742842
58836.0153 1.0000000000000002
